product,year,export,percentage,sum
cobre,2006,4176,79,5255
cobre,2007,8560,81,10505
cobre,2008,6473,76,8519
cobre,2009,10465,80,13027
cobre,2010,14977,86,17325
cobre,2011,15421,83,18629
cobre,2012,14805,82,18079
cobre,2013,15183,80,19088
cobre,2014,14012,76,18437
otros,2006,1079,21,5255
otros,2007,1945,19,10505
otros,2008,2046,24,8519
otros,2009,2562,20,13027
otros,2010,2348,14,17325
otros,2011,3208,17,18629
otros,2012,3274,18,18079
otros,2013,3905,20,19088
otros,2014,4425,24,18437
